Mixture	Neurons	Astrocytes	Oligodendrocytes	Microglia	Endothelia	P-value	Correlation	RMSE
HSB123	0.471590103803267	0.097179049013564	0.341383260073244	0	0.0898475871099254	9999	0.491474191697166	0.920625780565277
HSB126	0.570820645005309	0	0.218459126846703	0	0.210720228147988	9999	0.476782579439072	0.94073899686347
HSB130	0.537112793082174	0.0679386115463681	0.264939049529906	0.00102978706616512	0.128979758775386	9999	0.562201096181077	0.859613776966468
HSB135	0.584561914487613	0	0.0820235939494613	0	0.333414491562926	9999	0.399468122965764	1.01230264304393
HSB136	0.332929200816141	0.290963671736	0.151308361881827	0	0.224798765566032	9999	0.559005576996353	0.855660083849054
HSB145	0.756460068894063	0.0123225851257256	0.0915794116018234	0	0.139637934378388	9999	0.5008188331642	0.936293841825298
CMC_MSSM_002	0.679970343140231	0.152038833979907	0.104079158207608	0	0.0639116646722539	9999	0.641954304434567	0.788340280904281
CMC_MSSM_003	0.564864118063318	0.165171068457165	0.171085114214068	0	0.0988796992654482	9999	0.599833784055791	0.823452673259543
CMC_MSSM_004	0.73791049778142	0.127766693147134	0.0652429052290787	0	0.0690799038423673	9999	0.659865529400031	0.773782524313536
CMC_MSSM_005	0.654542716522752	0.126961399171271	0.110703270117701	0	0.107792614188277	9999	0.634055327832737	0.794861309598352
CMC_MSSM_006	0.717510221920397	0.107143869300463	0.0887712251103289	0	0.0865746836688109	9999	0.396583816093287	1.0185635547311
CMC_MSSM_007	0.640218892013574	0.0848351334112455	0.1935146288339	0	0.08143134574128	9999	0.614433500550976	0.814434618692318
CMC_MSSM_008	0.581583558183317	0.103153129693724	0.201675767516644	0	0.113587544606315	9999	0.588379682420515	0.836020043529395
CMC_MSSM_009	0.745444539178698	0.115501147197715	0.0498190621175049	0	0.0892352515060819	9999	0.619936086074603	0.817146343569399
CMC_MSSM_010	0.663817730782344	0.115010066066583	0.147406903417509	0	0.0737652997335642	9999	0.540064303461811	0.887233328474408
CMC_MSSM_011	0.690399200939712	0.0807181324768508	0.138484459836521	0	0.0903982067469164	9999	0.425502145723122	0.991308001940406
CMC_MSSM_012	0.689010135786518	0.155572108586481	0.0734446988445898	0	0.0819730567824104	9999	0.623701383286043	0.808072354516567
CMC_MSSM_013	0.595102412867104	0.11425091444886	0.185705731708595	0	0.104940940975442	9999	0.587111880316624	0.837804565335811
CMC_MSSM_016	0.57922072082051	0.102590093622872	0.20942074970975	0	0.108768435846868	9999	0.629033890066311	0.796063919035981
CMC_MSSM_017	0.647480413433407	0.103951842075878	0.160282432213836	0	0.0882853122768795	9999	0.403515010881592	1.00394826418167
CMC_MSSM_019	0.584390678176871	0.145929843596891	0.170348336502045	0.00204636959052262	0.0972847721336707	9999	0.642188409771548	0.782423413204503
CMC_MSSM_020	0.60150658804252	0.227751687276332	0.0874758955737182	0	0.0832658291074291	9999	0.638482412891941	0.787558449267394
CMC_MSSM_021	0.758355240055633	0.0931498704116454	0.0648309965095113	0	0.0836638930232107	9999	0.647924184920675	0.788708646637683
CMC_MSSM_022	0.490289622421487	0.109554399816647	0.232476522051371	0.0193120840815745	0.148367371628921	9999	0.408459319489431	0.986379164638792
CMC_MSSM_023	0.62907140874166	0.116609558643943	0.184147522945912	0	0.0701715096684847	9999	0.358856829181666	1.03752917457811
CMC_MSSM_024	0.660253963995649	0.203011211045227	0.0732025821824906	0.000917679374240561	0.0626145634023932	9999	0.541627021194047	0.885837134495492
CMC_MSSM_025	0.321785911065046	0.131368063903321	0.468015546951778	0	0.078830478079855	9999	0.574529513863791	0.846721391566986
CMC_MSSM_026	0.544002233220634	0.0679252924695752	0.280875516828695	0	0.107196957481096	9999	0.378712542986089	1.0166322990335
CMC_MSSM_027	0.343372541578424	0.176167223601691	0.400304390406181	0.0013703441654273	0.0787855002482779	9999	0.52028106001028	0.892565305612041
CMC_MSSM_028	0.590860199135577	0.199170847576227	0.137534651187325	0	0.0724343021008714	9999	0.595959229516575	0.828778494716185
CMC_MSSM_029	0.520769576230403	0.0901628244487516	0.316829718892462	0	0.0722378804283829	9999	0.509254553006759	0.907406030795596
CMC_MSSM_033	0.347988310633187	0.159142843254655	0.420812695884732	0	0.0720561502274258	9999	0.596069450105665	0.824635314324877
CMC_MSSM_035	0.624947485251339	0.0862523456521825	0.156037564403945	0	0.132762604692534	9999	0.545649134485258	0.879287781772486
CMC_MSSM_036	0.467187929962144	0.246084352381643	0.122563233936255	0.0388052062274509	0.125359277492507	9999	0.371068079925922	1.01288668565381
CMC_MSSM_037	0.657585174772901	0.0989061225717491	0.128161176976418	0	0.115347525678932	9999	0.586861096240544	0.842517744391077
CMC_MSSM_038	0.569690734364209	0.206437043909613	0.122281993187133	0	0.101590228539045	9999	0.586448739469342	0.83669502219573
CMC_MSSM_039	0.550046872669276	0.171590037506129	0.181056522701365	0	0.0973065671232301	9999	0.587103219757492	0.834875428238543
CMC_MSSM_040	0.785834902684261	0.0999256867294095	0.0581265243968639	0	0.0561128861894655	9999	0.485162798417759	0.952278015757318
CMC_MSSM_041	0.510802853664614	0.116130297203838	0.264416274356375	0	0.108650574775172	9999	0.621173806545297	0.801299928360011
CMC_MSSM_042	0.573871811747507	0.118773845501802	0.214855679651347	0	0.0924986630993445	9999	0.417117550339111	0.985761130516889
CMC_MSSM_044	0.44477948809331	0.306902721054717	0.111720982331374	0.000176993933295163	0.136419814587304	9999	0.406683050569848	0.98692555029067
CMC_MSSM_045	0.553438766331607	0.108711495935933	0.241641125690839	0	0.0962086120416205	9999	0.350733320366461	1.03695484504458
CMC_MSSM_046	0.638362913474303	0.0889190173116189	0.157707340186848	0	0.115010729027231	9999	0.608345395513435	0.820132966059072
CMC_MSSM_047	0.715193268543628	0.0862279274825854	0.115749690627323	0	0.0828291133464639	9999	0.587428240109995	0.847055084344661
CMC_MSSM_048	0.62416673381644	0.15959607149538	0.17857204610544	0	0.0376651485827402	9999	0.591816258750754	0.835194477433891
CMC_MSSM_049	0.679852275088185	0.0654849114983223	0.17146655760178	0	0.0831962558117133	9999	0.552723179086134	0.877781290617058
CMC_MSSM_050	0.584992657319626	0.160594933629256	0.128120913190933	0	0.126291495860185	9999	0.585842637598876	0.838085332852723
CMC_MSSM_051	0.535761983992163	0.238528780324645	0.10884825786481	0.00626155843716967	0.110599419381212	9999	0.469317704823742	0.939456467842888
CMC_MSSM_052	0.533108691627094	0.145568981917121	0.12831921551128	0	0.193003110944506	9999	0.633392319018543	0.789666243142567
CMC_MSSM_053	0.436675787812135	0.267452106129766	0.246062471676605	0	0.0498096343814939	9999	0.633353174907408	0.787204477480744
CMC_MSSM_054	0.650533958962152	0.111681493944915	0.119575687180375	0	0.118208859912557	9999	0.537396902571167	0.888593010659102
CMC_MSSM_055	0.650208229332153	0.132871649310782	0.123604144617621	0	0.0933159767394435	9999	0.520539634428217	0.903650475676914
CMC_MSSM_056	0.561726182429716	0.132072496556682	0.182440716137629	0	0.123760604875974	9999	0.351317690536579	1.03593968826927
CMC_MSSM_057	0.562198684932923	0.153369364520289	0.176714457928514	0	0.107717492618274	9999	0.329852099919471	1.05201364102189
CMC_MSSM_058	0.577228475263514	0.101786305795567	0.236092593466992	0	0.0848926254739278	9999	0.494934708445624	0.92143096446255
CMC_MSSM_059	0.55538201374777	0.184879802547136	0.177353058504339	0	0.0823851252007556	9999	0.477408477637241	0.933521166297809
CMC_MSSM_060	0.716440968245459	0.0835653091153452	0.108665573856249	0	0.0913281487829468	9999	0.520516330605845	0.911034101173626
CMC_MSSM_061	0.66415424706569	0.126102537117837	0.0998181983428946	0	0.109925017473579	9999	0.551932305327456	0.876230391307001
CMC_MSSM_062	0.495874272863354	0.120758709029106	0.234936303047668	0.0143398130006338	0.134090902059238	9999	0.616342758003282	0.804876156995287
CMC_MSSM_063	0	0.407452540714534	0.439733090798762	0.00486613003030725	0.147948238456396	9999	0.525413238735299	0.89932240342584
CMC_MSSM_064	0.638663132714174	0.104969407844312	0.133090918199882	0	0.123276541241632	9999	0.620168947285816	0.808138706542978
CMC_MSSM_065	0.716499836243188	0.10425524412028	0.098675157304917	0	0.0805697623316153	9999	0.417393921907412	1.00112042197912
CMC_MSSM_066	0.679430008352886	0.0800748136361462	0.161539058662257	0	0.078956119348711	9999	0.46492598609271	0.956599168519992
CMC_MSSM_067	0.67897371730224	0.159777195743648	0.0857574899980044	0	0.075491596956108	9999	0.622873704460589	0.808066800227804
CMC_MSSM_069	0	0.287522176306266	0.28422819369148	0.101810552669675	0.326439077332579	9999	0.458322889624044	0.951640211598874
CMC_MSSM_071	0.551430369135965	0.179935670499112	0.127668799852987	0.0299223482185408	0.111042812293394	9999	0.541612222061307	0.87645529678991
CMC_MSSM_072	0.773557845145992	0.120668561010024	0.0316881287420698	0	0.0740854651019143	9999	0.384574494850394	1.03762257095468
CMC_MSSM_073	0.527694761327408	0.121828446788389	0.205161997252153	0.00416246785315999	0.14115232677889	9999	0.348103803530108	1.03574150048026
CMC_MSSM_074	0.503918567060792	0.130211483578682	0.283111351677621	0	0.0827585976829049	9999	0.323129635230785	1.05446620497349
CMC_MSSM_075	0.721978086909451	0.0833949108741135	0.106444072809307	0	0.0881829294071292	9999	0.629567286441401	0.804930254103825
CMC_MSSM_076	0.737690673733073	0.0944777896134619	0.102390595179425	0	0.06544094147404	9999	0.63029207204741	0.805430429236529
CMC_MSSM_077	0.620058924469765	0.128936510400741	0.115410211339965	0.0144964571226759	0.121097896666854	9999	0.407120288192141	0.997422274258323
CMC_MSSM_078	0.68257109332334	0.0798154439834045	0.149599567855766	0.00137736113510726	0.0866365337023831	9999	0.413543302241636	1.00031555620936
CMC_MSSM_079	0.661527494551896	0.0862947461124412	0.118336537954492	0	0.133841221381171	9999	0.550128052805243	0.878222842241432
CMC_MSSM_080	0.544960882901021	0.119438328180598	0.262168011845165	0	0.0734327770732159	9999	0.603630307990612	0.819986874480221
CMC_MSSM_081	0.593033922466703	0.090428027811423	0.229080214686671	0.011872105879538	0.075585729155665	9999	0.475420975429121	0.939403297989929
